Substrate Temperature,Ga Temperature,N2 Pressure,RF,Growth Time (minutes),Crystal
650,840,0.00001,350,180,1
650,840,0.00001,350,300,1
650,922,0.00001,350,180,1
500,895,0.00001,350,180,1
650,895,0.00001,450,181,1
650,895,0.00001,350,180,1
540,895,0.00001,350,150,1
750,895,0.00001,350,180,1
550,915,0.00001,350,180,1
550,950,0.00001,350,180,1
550,980,0.00001,350,180,1
550,965,0.00001,350,180,1
550,965,0.00001,350,30,1
800,980,0.00001,350,180,1
550,965,0.00001,350,180,1
800,970,0.00001,350,180,1
800,970,0.00001,350,60,1
550,965,0.00001,350,180,1
550,965,0.00001,350,180,1
550,965,0.00001,350,180,1
550,965,0.00001,350,180,1
750,975,0.00001,250,180,1
650,965,0.00001,250,180,1
700,965,0.00002,250,180,1
650,965,0.00002,250,180,1
650,965,0.00001,350,30,1
650,965,0.00001,110,30,1
700,965,0.00001,110,30,1
750,965,0.00001,110,30,1
450,870,0.00001,150,180,1
750,960,0.00001,150,60,1
770,920,0.00001,150,75,1
900,950,0.00001,150,120,1
720,970,0.00001,350,60,1
720,970,0.00001,350,60,1
700,940,0.00001,350,150,1
700,940,0.00001,350,150,1
700,950,0.00001,150,120,1
450,970,0.00001,150,180,1
450,970,0.00001,150,180,1
450,970,0.00001,150,180,1
450,970,0.00001,150,180,1
500,970,0.00001,150,180,1
500,970,0.00001,150,180,1
860,960,0.00001,150,113,1
860,960,0.00001,150,113,1
860,960,0.00001,150,60,1
800,960,0.00001,150,60,1
800,960,0.00001,150,99,1
770,980,0.00001,150,116,1
750,990,0.00001,150,70,1
450,960,0.00001,350,180,1
450,960,0.00001,350,180,1
750,980,0.00001,350,180,1
800,980,0.00001,150,180,1
800,980,0.00001,150,180,1
800,970,0.00001,150,180,1
800,970,0.00001,150,180,1
750,970,0.00001,150,180,1
750,990,0.00001,150,180,1
250,900,0.0000072,350,120,0
250,897,0.00000335,350,120,0
100,897,0.00000348,350,60,0
250,900,0.0000034,500,120,0
100,850,0.00001,350,180.083333333333,0
100,840,0.00001,500,180,0
500,840,0.00001,350,180,0
500,940,0.000011,350,182,0
500,940,0.00000998,350,180,0
500,940,0.00001,350,120,0
500,922,0.00001,350,180,0
150,922,0.00001,350,180,0
500,895,0.000005,350,181.5,0
500,895,0.00001,450,181,0
150,895,0.00001,450,180,0
650,895,0.0000103,450,180,0
500,895,0.00001,500,180,0
500,895,0.00001,400,180,0
25,895,0.00001,350,180,0
200,895,0.00001,350,180,0
400,895,0.00001,350,180,0
600,870,0.00002,350,180,0
600,870,0.00002,350,180,0
600,870,0.00002,350,180,0
550,965,0.00001,350,180,0
800,970,0.00001,350,90,0
800,950,0.00001,350,120,0
800,965,0.00001,350,120,0
800,965,0.00001,350,15,0
550,965,0.00001,500,30,0
400,870,0.00002,250,180,0
450,870,0.00002,250,180,0
500,870,0.00002,250,180,0
450,870,0.00002,250,180,0
450,870,0.00001,250,180,0
450,870,0.00002,250,180,0
450,870,0.00002,250,180,0
450,870,0.00002,250,180,0
450,870,0.00002,250,180,0
450,870,0.00002,250,180,0
450,870,0.00002,250,240,0
650,965,0.00001,350,180,0
450,915,0.00002,250,180,0
450,965,0.00002,250,180,0
650,965,0.00002,250,180,0
450,920,0.00002,250,180,0
650,975,0.00001,250,180,0
750,965,0.00002,250,180,0
750,965,0.00002,250,180,0
450,870,0.00001,150,180,0
450,870,0.00001,150,180,0
800,990,0.00001,150,88,0
600,990,0.00001,150,112,0
